0,1,2,3
Imperial Restaurant,Tomato Omelette,₹85,
Imperial Restaurant,Plain Omelette,₹70,
Imperial Restaurant,Fried Egg,₹70,
Imperial Restaurant,Boiled Egg [2 Eggs],₹45,
Imperial Restaurant,Cut Fruit,₹55,
Imperial Restaurant,Banana Fry,₹22,
Imperial Restaurant,Onion Pakoda,₹30,
Imperial Restaurant,Chicken Samosa,₹22,
Imperial Restaurant,Veg Sweet Corn Soup,₹130,
Imperial Restaurant,Veg Hot and Sour Soup,₹130,
Imperial Restaurant,Veg Manchow Soup,₹130,
Imperial Restaurant,Cream of Mushroom Soup,₹130,
Imperial Restaurant,Veg Clear Soup,₹120,
Imperial Restaurant,Tomato Soup,₹120,
Imperial Restaurant,Chicken Sweet Corn Soup,₹135,
Imperial Restaurant,Chicken Hot and Sour Soup,₹135,
Imperial Restaurant,Chicken Manchow Soup,₹135,
Imperial Restaurant,Chicken Chowmein Soup,₹135,
Imperial Restaurant,Chicken Mushroom Soup,₹135,
Imperial Restaurant,Chicken Clear Soup,₹125,
Imperial Restaurant,Mutton Sweet Corn Soup,₹140,
Imperial Restaurant,Mutton Hot and Sour Soup,₹140,
Imperial Restaurant,Mutton Manchow Soup,₹140,
Imperial Restaurant,Mutton Chowmein Soup,₹140,
Imperial Restaurant,Mutton Mushroom Soup,₹140,
Imperial Restaurant,Mutton Clear Soup,₹130,
Imperial Restaurant,Green Salad,₹45,
Imperial Restaurant,Cucumber Salad,₹75,
Imperial Restaurant,Onion Salad,₹75,
Imperial Restaurant,Mix Raita,₹75,
Imperial Restaurant,Onion Raita,₹75,
Imperial Restaurant,Tomato Raita,₹75,
Imperial Restaurant,Cucumber Raita,₹75,
Imperial Restaurant,Aloo Raita,₹95,
Imperial Restaurant,Pineapple Raita,₹95,
Imperial Restaurant,Curd,₹55,
Imperial Restaurant,Masala Papad,₹80,
Imperial Restaurant,Imperial Special Falooda,₹120,
Imperial Restaurant,Fruit Salad with Ice Cream,₹105,
Imperial Restaurant,Plain Fruit Salad,₹80,
Imperial Restaurant,Fruit Salad with Jelly,₹105,
Imperial Restaurant,Gudbud with Ice Cream,₹145,
Imperial Restaurant,Dry Fruit with Ice Cream,₹145,
Imperial Restaurant,Imperial Special with Honey,₹160,
Imperial Restaurant,Jelly with Ice cream,₹135,
Imperial Restaurant,Chocolate Brownie Sundae,₹150,
Imperial Restaurant,Chocolate Fudge Sundae,₹150,
Imperial Restaurant,French Limback Sundae,₹125,
Imperial Restaurant,Wild Nectar Sundae,₹125,
Imperial Restaurant,Death By Chocolate Sundae,₹150,
Imperial Restaurant,Chocolate Fantasy Sundae,₹150,
Imperial Restaurant,Apple Malbas,₹160,
Imperial Restaurant,Rich Mosambi Juice,₹80,
Imperial Restaurant,Grape Juice,₹70,
Imperial Restaurant,Carrot Juice,₹95,
Imperial Restaurant,Watermelon Juice,₹75,
Imperial Restaurant,Pineapple Juice,₹75,
Imperial Restaurant,Anjeer Milkshake,₹135,
Imperial Restaurant,Pista Milkshake,₹135,
Imperial Restaurant,Apricot Milkshake,₹135,
Imperial Restaurant,Cashew Milkshake,₹135,
Imperial Restaurant,Almond Milkshake,₹135,Badam.
Imperial Restaurant,Mix Dry Fruit Milkshake,₹135,
Imperial Restaurant,Vanilla Ice Cream Milkshake,₹110,
Imperial Restaurant,Pista Ice Cream Milkshake,₹110,
Imperial Restaurant,Chocolate Ice Cream Milkshake,₹110,
Imperial Restaurant,Strawberry Ice Cream Milkshake,₹110,
Imperial Restaurant,Fig and Honey Ice Cream Milkshake,₹110,
Imperial Restaurant,Butterscotch Ice Cream Milkshake,₹110,
Imperial Restaurant,Mango Ice Cream Milkshake,₹110,
Imperial Restaurant,Apple Milkshake,₹105,
Imperial Restaurant,Khajoor Milkshake,₹105,
Imperial Restaurant,Sharjah Milkshake,₹105,
Imperial Restaurant,Banana Milkshake,₹105,
Imperial Restaurant,Cocktail Milkshake,₹105,[Non alcoholic]
Imperial Restaurant,Papaya Milkshake,₹105,
Imperial Restaurant,Chikoo Milkshake,₹105,
Imperial Restaurant,Mango Milkshake,₹105,
Imperial Restaurant,Cold Coffee Milkshake,₹105,
Imperial Restaurant,Lassi,₹75,
Imperial Restaurant,Mango Lassi,₹90,
Imperial Restaurant,Fruit Lassi,₹90,
Imperial Restaurant,Chocolate Lassi,₹90,
Imperial Restaurant,Pina Colada Mocktail,₹85,[Non Alcoholic]
Imperial Restaurant,Ciderette Mocktail,₹85,[Non Alcoholic]
Imperial Restaurant,Winto Mocktail,₹85,[Non Alcoholic]
Imperial Restaurant,Peach and Apricot Mocktail,₹85,[Non Alcoholic]
Imperial Restaurant,Vanilla Ice Cream Soda,₹110,
Imperial Restaurant,Strawberry Ice Cream Soda,₹110,
Imperial Restaurant,Chocolate Ice Cream Soda,₹110,
Imperial Restaurant,Pista Ice Cream Soda,₹110,
Imperial Restaurant,Fresh Lime Soda,₹55,
Imperial Restaurant,Ginger Lime Soda,₹55,
Imperial Restaurant,Iced Tea,₹55,
Imperial Restaurant,Fresh Lime Juice,₹45,
Imperial Restaurant,Blue Lemonade,₹55,[Non Alcoholic]
Imperial Restaurant,Mint Lime Soda,₹60,
Imperial Restaurant,Mexican Soda,₹65,
Imperial Restaurant,Imperial Special Soda,₹65,
Imperial Restaurant,Masala Soda,₹65,
Imperial Restaurant,Sprite,₹45,[500Ml]
Imperial Restaurant,Mineral Water,₹20,[1000Ml]
MISU,Coconut Shrimp Roll,₹750,
MISU,California Maki,₹750,
MISU,Ebi Maki,₹750,
MISU,Coconut Crusted Prawns with Mango Relish,₹630,"Golden fried prawns in bread crumbs and coconut batter; served with a side
of ... read more"
MISU,Teriyaki Chicken Onigirazu,₹720,
MISU,Chicken And Prawns Siu Mai,₹440,
MISU,Sour and Spicy Dumpling Chicken,₹440,
MISU,Spicy Korean Ramen Chicken,₹510,
